id,t-search,t-entry,e-entry,t-cat,t-syn,t-sample,t-ant,t-def,e-related,t-num,notes
18889,อิงค์,อิงค์,strange,ADJ,"ประหลาด, อัศจรรย์",,,,surprising; astonishing,,(บาลี/สันสกฤต)
18890,อาศรม,อาศรม,hermitage,N,,ธิดานาคอับอาย และเกรงว่าเรื่องจะไปถึงหูบิดา จึงคิดที่จะสังหารดาบสทั้งสี่ เมื่อไปถึงอาศรม,,ที่อยู่ของนักพรต,,หลัง,
18891,อิงประวัติศาสตร์,อิงประวัติศาสตร์,historical,ADJ,,ในช่วงสงครามโลกครั้งที่สอง นักเขียนได้ผลิตนวนิยายอิงประวัติศาสตร์ ที่มุ่งปลุกเร้าจิตใจให้รักชาติบ้านเมือง,,,based on history,,
18892,อิงอร,อิงอร,snuggle up,V,"เคล้าเคลีย, คลอเคลีย",,,,nestle,,
18893,อิงแอบ,อิงแอบ,snuggle up,V,"แนบชิด, แอบอิง",น้องอิงแอบพ่อราวแม่เหล็กดึงดูด,,,nestle,,
18894,อิฉัน,อิฉัน,I,PRON,"ดิฉัน, อีฉัน",อิฉันอยากจะไปกับคุณด้วย,,คำใช้แทนตัวผู้พูดเพศหญิง เป็นคำสุภาพ,me; myself,,
18895,อิฏฐารมณ์,อิฏฐารมณ์,satisfaction,N,,,อนิฏฐารมณ์,อารมณ์ หรือสิ่งที่น่าปรารถนาน่าพอใจ ได้แก่ ลาภ ยศ สรรเสริญ สุข,gratification,,
18896,อิฐ,อิฐ,brick,N,ก้อนอิฐ,ศาสนสถานของพุทธศาสนาฝ่ายมหายานจะสร้างเป็นแบบปราสาทก่อด้วยอิฐ หรือศิลาแลง ซึ่งได้รับอิทธิพลจากศิลปะแบบบายน,,ดินปั้นเป็นก้อนสี่เหลี่ยมแล้วเผาจนมีความแข็ง ใช้สำหรับก่อผนังหรือกำแพง,,"ก้อน,  แผ่น",
18897,อิด,อิด,be tired,V,เหนื่อย,ปีนี้แล้งติดต่อกันนานยาวนาน จนผู้คน และหมูหมาต่างอิดล้าอ่อนโรยไปตามๆ กัน,,,be worn out; be exhausted; be weary,,
18898,อ้ำอึ้ง,อ้ำอึ้ง,be speechless,V,"นิ่ง, อึ้ง",เมื่อปรายตาไปบนผนัง พวกเราต่างก็อ้ำอึ้งหันไปมองหน้ากัน เพราะแทบจะทั่วทั้งผนังมีปีกนกน้อยใหญ่ประดับครืดเต็มไปหมด,,"นิ่งอั้นไม่ยอมพูด, พูดไม่ออกด้วยจนใจ หรือจนปัญญา, ไม่รู้จะพูดอะไร",,,
18899,อายัน,อายัน 1,ascetic,N,"นักบวช, ฤษี",,,,hermit; anchorite; recluse,,
18900,อาศิร,อาศิร,benediction,N,การอวยพร,,,,blessing,,
18901,อาม,อาม,third daughter,N,,,,เรียกลูกสาวคนที่ 3 ว่า ลูกอาม,,,(โบราณ)
18902,อามิษ,อามิษ,enticement,N,อามิส,,,วัตถุเครื่องล่อใจ,allurement; bait,,
18903,อามิส,อามิส,allurement,N,อามิษ,นักหนังสือพิมพ์ดีๆ ที่ไม่รับอามิสสินจ้าง รางวัล หรือสินบนใดๆ ยังมีอยู่มาก,,วัตถุเครื่องล่อใจ,enticement; bait,,
18904,อายตนะ,อายตนะ,sense,N,ประสาทสัมผัส,สมองส่วนฮิปโปแคมปัสตั้งอยู่กลางสมอง ทำหน้าที่เลือกเฟ้นสัญญาณจากอายตนะที่เข้ามา,,เครื่องรู้และสิ่งที่รู้ เช่น ตาเป็นเครื่องรู้ รูปเป็นสิ่งที่รู้,,,(บาลี/สันสกฤต)
18905,อายเหนียม,อายเหนียม,be bashful,V,เหนียมอาย,เธอจะอายเหนียมไปทำไมเล่า,หน้าด้าน,กระดากอาย,be shy,,
18906,อาภากร,อาภากร,sun,N,พระอาทิตย์,,,,,,(บาลี/สันสกฤต)
18907,อายัต,อายัต,industrious,ADJ,ขยัน,,,"ขยัน, ขันแข็ง",diligent; assiduous; hard-working,,
18908,อาภา,อาภา,light,N,"อาภาส, แสง, รัศมี, ความสว่าง",,,,brightness; ray,,(บาลี/สันสกฤต)
18909,อายัน,อายัน 2,solstice,N,,,,ทางดาราศาสตร์ หมายถึงจุดหยุด คือจุดสุดทางเหนือและทางใต้ที่ดวงอาทิตย์โคจรไปถึง,,,
18910,อายาจนะ,อายาจนะ,request,N,"การขอร้อง, การวิงวอน",,,,entreaty,,(บาลี)
18911,อายุกษัย,อายุกษัย,death,N,ความตาย,,,"การสิ้นอายุ, ความตาย",decease,,
18912,อายุความ,อายุความ,prescription,N,,ธนาคารจำเป็นต้องฟ้องลูกหนี้บางราย เพื่อรักษาสิทธิ์อายุความไว้ตามกฎหมาย,,ระยะเวลาที่กฎหมายกำหนดให้ใช้สิทธิเรียกร้องบังคับ ฟ้องหรือร้องทุกข์,limitation,,
18913,อายุรแพทย์,อายุรแพทย์,physician,N,อายุรเวช,,,แพทย์ผู้ทำการรักษาด้วยยา,doctor,,
18914,อายุรเวช,อายุรเวช,physician,N,อายุรแพทย์,,,หมอรักษาโรคทางยา,doctor,,
18915,อายุรศาสตร์,อายุรศาสตร์,science of medicine,N,,หลังจากจบแพทย์แล้ว เขาได้เลือกศึกษาต่อด้านอายุรศาสตร์ พร้อมกับเป็นอาจารย์ควบคู่กันไป,,วิชาการรักษาโรคทางยา,medicine,,
18916,อายัด,อายัด,seize,V,กัก,"ครอบครัวมาร์คอสสิ้นอำนาจหลังปกครองมานานถึง 20 ปี และถูกอายัดทรัพย์สินมูลค่า 10,000 ล้านดอลลาร์",,ห้ามจำหน่ายจ่ายโอนทรัพย์สิน หรือสิทธิเรียกร้อง,attach; freeze; detain,,
18917,อาบัติ,อาบัติ,offence,N,"บาป, ความผิด",พระวินัยที่พระภิกษุละเมิดจนเป็นเหตุต้องอาบัติปาราชิกนั้นมี 4 ข้อ,,โทษที่เกิดจากการล่วงละเมิดสิกขาบท หรือข้อห้ามแห่งพระภิกษุ,infringement; misdemeanor; offense,,
18918,ออกมหาสมาคม,ออกมหาสมาคม,attend a meeting,V,เสด็จออกมหาสมาคม,,,"ออกที่ประชุมใหญ่, ใช้เฉพาะพระมหากษัตริย์ ว่า เสด็จออกมหาสมาคม",,,(ราชา)
18919,อานันท์,อานันท์ 1,Annonta,N,อานนท์,,,ชื่อปลาใหญ่ เชื่อกันว่าหนุนแผ่นดิน เมื่อปลานี้พลิกตัวจะทำให้เกิดแผ่นดินไหว,,,(บาลี/สันสกฤต)
18920,อานันท์,อานันท์ 2,joy,N,"อานนท์, ความเพลิดเพลิน, ความยินดี, ความปลื้มใจ",,,,delight; pleasure; happiness; enjoyment,,
18921,อานิสงส์,อานิสงส์ 1,result of merit,N,"ผลบุญ, ผลดี, ความดี",ถ้าได้ทำบุญสร้างโบสถ์จะมีอานิสงส์มากกว่าทำบุญอย่างอื่น,,"ผลแห่งกุศลกรรม, ผลบุญ",virtue,,
18922,อาบแดด,อาบแดด,sunbathe,V,,นักท่องเที่ยวส่วนใหญ่ที่เป็นฝรั่งชอบมาอาบแดดอยู่เต็มชายหาด,,ให้ผิวกายส่วนใดส่วนหนึ่งหรือทั้งหมดถูกแดด เพื่อสุขภาพหรือความงาม,,,
18923,อาบน้ำอาบท่า,อาบน้ำอาบท่า,bathe,V,อาบน้ำ,สมัยเรียนปี 4 พวกเราจะอยู่ทำงานกันจนสว่าง บางทีอาบน้ำอาบท่า แต่งตัวรอเข้าเรียนในชั่วโมงเช้าต่อไปเลย,,,take a bath,,
18924,อาภาส,อาภาส,light,N,"อาภา, รัศมี, แสงสว่าง",,,,ray; brightness,,(บาลี/สันสกฤต)
18925,อาบเหงื่อต่างน้ำ,อาบเหงื่อต่างน้ำ,make a living by the sweat of one's brow,V,,ฉันอาบเหงื่อต่างน้ำทุกวันนี้ก็เพื่อลูก,,ตรากตรำทำงานอย่างไม่เห็นแก่ความเหนื่อยยาก,,,(สำนวน)
18926,อาร์กิวเมนต์,อาร์กิวเมนต์,argument,N,,,,,,,(อังกฤษ)
18927,อาบัน,อาบัน 1,commit,V,,,,ต้อง,perpetrate,,
18928,อาบัน,อาบัน 2,attain,V,"ถึง, ลุ",,,,reach; succeed,,
18929,อาปะ,อาปะ,water,N,อาโป,,,"น้ำ, เมื่อใช้เป็นส่วนหน้าของสมาสมักใช้ว่า อาโป",,,
18930,อาพาธ,อาพาธ,be ill,V,"เจ็บป่วย, ป่วย",สุขภาพของหลวงพ่อในช่วงหลังมานี้มีอาการเหนื่อย อ่อนเพลีย และอาพาธบ่อยๆ,,เจ็บป่วย (ใช้แก่ภิกษุสามเณร),be sick,,
18931,อาเพศ,อาเพศ,portent,N,,ชาวบ้านเชื่อกันว่า ถ้าเลือดกำเดาพระประธานไหลออกจะเกิดอาเพศในทางไม่ดี,,เหตุที่เกิดขึ้นอย่างผิดปกติวิสัย ถือว่าเป็นลางไม่ดี,harbinger; omen,,
18932,อาฟริกา,อาฟริกา,Africa,N,"แอฟริกา, ทวีปอาฟริกา",ประเทศในอาฟริกามีปัญหาพื้นฐานด้านประชากร การศึกษา และการแทรกแซงทางการเมือง,,,,,
18933,อาภัพ,อาภัพ,unlucky,ADJ,อับโชค,สมัยที่เขายังมีชีวิตอยู่ได้เล่าให้บรรดาเพื่อนๆ ฟังว่า ตนเป็นคนอาภัพ เพราะไม่มีพ่อแม่พี่น้อง,"เคราะห์ดี, มีวาสนา","ปราศจากโชค, เคราะห์ร้าย, วาสนาน้อย, ตกอับ",ill-fated; luckless; unfortunate,,
18934,อาบยาพิษ,อาบยาพิษ,dipped in poison,ADJ,,หลักฐานของการฆาตกรรมที่เหลือให้เห็นก็มีเพียงลูกดอกหน้าไม้อาบยาพิษโบราณ ที่ไม่มีใครเคยเห็นมาก่อน,,,,,
18935,อาวรณ์,อาวรณ์,cling,V,"ห่วงใย, อาลัย",,,คิดกังวลถึง,be concerned about; care,,(บาลี/สันสกฤต)
18936,อาราม,อาราม 1,temple,N,วัด,รัชกาลที่ 1 ทรงปฏิสังขรณ์วัดโพธารามขึ้นเป็นอารามหลวง แล้วตั้งชื่อว่า วัดพระเชตุพนวิมลมังคลาราม,,,,,(บาลี/สันสกฤต)
18937,อาลัยอาวรณ์,อาลัยอาวรณ์,be attached to,V,"อาลัย, อาวรณ์",หล่อนมิได้อาลัยอาวรณ์บ้านที่จากมาสักเท่าไหร่,,ระลึกถึงด้วยใจผูกพัน,mourn; miss,,
18938,อาโลก,อาโลก,looking,N,"การดู, การเห็น",,,,seeing,,(บาลี/สันสกฤต)
18939,อาโลก,อาโลก,light,N,,,,"แสงสว่าง, ความสว่าง",brightness,,(บาลี/สันสกฤต)
18940,อาโลกนะ,อาโลกนะ,seeing,N,"การดู, การเห็น",,,,looking,,
18941,อาโลกนะ,อาโลกนะ,consideration,N,,,,การตรึกตรอง,reflection; contemplation,,
18942,อายุสั้น,อายุสั้น,be short-lived,V,,ชายไทยโดยทั่วไปจะอายุสั้นกว่าหญิง,อายุยืน,,,,
18943,อ่าวไทย,อ่าวไทย,gulf of Thailand,N,,การขุดคอคอดกระจะทำให้กระแสน้ำเย็นในทะเลอันดามันไหลเข้ามาในอ่าวไทย ซึ่งส่งผลให้น้ำหมุนเวียนและสะอาดมากขึ้น,,,,,
18944,อาราธนาธรรม,อาราธนาธรรม,request for the Dharma,V,,คนสมัยนี้ประกอบพิธีทางศาสนาไม่เป็น แม้เพียงง่ายๆ เช่น อาราธนาศีล อาราธนาธรรมก็ไม่เป็น,,ขอให้แสดงธรรม,ask to give sermon,,
18945,อาวาส,อาวาส,temple,N,วัด,หลวงตาท่านจำวัดอยู่ที่อาวาสแห่งนี้แหละ,,,,,(บาลี/สันสกฤต)
18946,อาวาสิก,อาวาสิก,monk,N,พระสงฆ์,,,ผู้ครอบครองอาวาส,priest,,(บาลี)
18947,อาวาหมงคล,อาวาหมงคล,marriage which the bride move into groom's house,N,,,วิวาหมงคล,การสมรสโดยการนำเจ้าสาวมาอยู่บ้านเจ้าบ่าว,,,
18948,อาวาหะ,อาวาหะ,marriage which the wife moves into husband's house,N,,,,การแต่งงานแบบหนึ่งที่ฝ่ายชายจะนำหญิงที่ตนแต่งงานด้วยมาอยู่ที่บ้านของตน,,,(บาลี/สันสกฤต)
18949,อาวุธยุทธภัณฑ์,อาวุธยุทธภัณฑ์,armament,N,"อาวุธ, อาวุธยุทโธปกรณ์",แรงผลักดันในการวิจัย และผลิตอาวุธยุทธภัณฑ์อันทรงอานุภาพไม่ได้เกิดจากทหาร แต่เป็นผลจากการกระตุ้นของนักวิทยาศาสตร์,,,weapon; arms,,
18950,อาวุธยุทโธปกรณ์,อาวุธยุทโธปกรณ์,arm,N,"อาวุธ, อาวุธยุทธภัณฑ์",ประเทศที่พัฒนาแล้วไม่จำเป็นต้องมีจำนวนกำลังพลมากเหมือนก่อน เพราะใช้อาวุธยุทโธปกรณ์ที่ทันสมัยขึ้น,,,weapon; armament,,
18951,อินทผลัม,อินทผลัม,date palm,N,อินทผาลัม,,,ชื่อปาล์มชนิด Phoenix dactylifera Linn. ในวงศ์ Palmae ผลกินได้,Phoenix dactylifera Linn.,,
18952,อ่าว,อ่าว,bay,N,,สมาพันธ์ชาวประมงพื้นบ้านได้ปิดอ่าวประท้วงเรืออวนลาก ที่กวาดหาปลาในเขตชายฝั่ง โดยละเมิดกฎหมาย,,ส่วนของมหาสมุทร ทะเล หรือทะเลสาบ ที่ล้ำเข้าไปในฝั่งหรือในแผ่นดิน,gulf,อ่าว,
18953,อารยัน,อารยัน,Aryan,N,อริยกะ,ในอินเดียโบราณเรียกคนอื่นที่ไม่ใช่อารยันว่า เมลจฉะ หรือมิลักขู,,ชื่อชนชาติหนึ่ง ซึ่งเป็นต้นเค้าของชาวอินเดียบางพวก ชาวอิหร่าน และชาวยุโรปบางพวก,,,
18954,อาศัยไหว้วาน,อาศัยไหว้วาน,ask for,V,ไหว้วาน,เมื่อเป็นเพื่อนเป็นมิตรกันแล้ว จะอาศัยไหว้วานอะไร มันก็สะดวกขึ้น,,ขอร้องให้ช่วยเหลือ,beg,,
18955,อาร์เจนตินา,อาร์เจนตินา,Argentina,N,ประเทศอาร์เจนตินา,คนรวยในอาร์เจนตินา ที่อาศัยอยู่ในวิลลาขนาดใหญ่ ต้องสร้างกำแพงรั้วสูงลิบ เพื่อป้องกันการลักขโมย,,,,,
18956,อาร์ต,อาร์ต,art paper,N,กระดาษอาร์ต,กระดาษอาร์ตเป็นกระดาษอย่างดีใช้พิมพ์หนังสือ,,กระดาษมัน หนา เนื้อดี,,,
18957,อาร์ม,อาร์ม,arm,N,,,,เครื่องหมายรูปอย่างโล่,,,(อังกฤษ)
18958,อารมณ์สะเทือนใจ,อารมณ์สะเทือนใจ,emotion,N,,ความสามารถในเชิงประพันธ์ของผู้ประพันธ์ ทำให้ผู้อ่านเกิดอารมณ์สะเทือนใจ,,,,,
18959,อารมณ์เสีย,อารมณ์เสีย,be upset,V,อารมณ์บูด,สองสามอาทิตย์ที่ผ่านมาเขาอารมณ์เสียบ่อย เพราะความรับผิดชอบสูงขึ้นและมีงานยุ่งทั้งวัน,อารมณ์ดี,,have a bad temper,,
18960,อารยชน,อารยชน,civilized people,N,"ผู้เจริญ, ผู้มีวัฒนธรรม",การรู้จักเคารพสิทธิของผู้อื่น เป็นเครื่องหมายของอารยชนประการหนึ่ง,,"ชนที่เจริญด้วยขนบธรรมเนียมอันดี, ชนที่พ้นจากความเป็นป่าเถื่อน",,,
18961,อาราธนาศีล,อาราธนาศีล,request for percepts,V,ขอศีล,หลังจากที่พระสงฆ์เจริญพระพุทธมนตร์แล้ว พิธีกรก็จะอาราธนาศีล,,,,,
18962,อารยะ,อารยะ,civilized,ADJ,เจริญ,สังคมที่มีอารยะแห่งความศิวิไลซ์ มีทั้งคนดีและคนไม่ดีปะปนอยู่,ป่าเถื่อน,,,,
18963,อาราธนาพระปริตร,อาราธนาพระปริตร,request for praying,V,,หลังจากพระสงฆ์ผู้เป็นประธานให้ศีลแล้ว เขาก็อาราธนาพระปริตร,,ขอให้สวดมนต์,,,
18964,อารักขา,อารักขา,protection,N,"การป้องกัน, ความคุ้มครอง,  ความดูแล",,,,guard,,(บาลี)
18965,อารักขา,อารักขา,protect,V,"ป้องกัน, คุ้มครอง, ดูแล",กรมทหารมหาดเล็กรักษาพระองค์เป็นหน่วยงานที่อารักขาพระเจ้าแผ่นดินที่ใกล้ชิดมากที่สุด,,,guard; take care,,(บาลี)
18966,อารักษ์,อารักษ์,protection,N,"อารักขา, การป้องกัน, การคุ้มครอง, การดูแล",หล่อนต้องอยู่ในอารักษ์ของเจ้าหน้าที่,,,guard,,
18967,อารัมภกถา,อารัมภกถา,preface,N,"อารัมภบท, คำปรารภ, คำเริ่มต้น, คำนำ, บทนำ",เขาเริ่มอารัมภกถาคำปราศรัยของเขาด้วยภาษิตบทหนึ่ง,คำลงท้าย,,introduction; foreword,,
18968,อารัมภบท,อารัมภบท,preface,N,"อารัมภกถา, คำปรารภ, คำเริ่มต้น, คำนำ, บทนำ",หนังสือพิมพ์บางฉบับขี้เหนียวเหลือเกิน เรื่องดนตรีนี่ไปลงหน้าบันเทิงเพียงขึ้นอารัมภบทก็หมดที่จะเขียนแล้ว,,,introduction; foreword,,
18969,อาราธนา,อาราธนา,invite,V,"นิมนต์, เชื้อเชิญ",รัชกาลที่ 1 ทรงพระกรุณาโปรดเกล้าฯ ให้อาราธนาพระอาจารย์สุกมาจำพรรษาที่วัดพลับ,,,,,(บาลี/สันสกฤต)
18970,อาร์กอน,อาร์กอน,argon,N,,อากาศแห้งมีส่วนผสมของก๊าซโดยประมาณ ดังนี้ ไนโตรเจนร้อยละ 78 ออกซิเจนร้อยละ 21 อาร์กอนร้อยละ 0.93 และก๊าซอื่นๆ ร้อยละ 0.07,,ธาตุลำดับที่ 18 สัญลักษณ์ Ar เป็นแก๊สเฉื่อย มีปรากฏอยู่ในอากาศประมาณร้อยละ 0.94 โดยปริมาตร ใช้ประโยชน์นำไปบรรจุในหลอดไฟฟ้า และหลอดเรืองแสง,Ar,,
18971,อารยชาติ,อารยชาติ,civilized nation,N,อารยประเทศ,อารยชาติที่เจริญล้วนเป็นชาติผสม และมีวัฒนธรรมผสมกันทั้งนั้น,,"ประเทศที่เจริญด้วยขนบธรรมเนียมอันดี, ประเทศที่พ้นจากความเป็นป่าเถื่อน",civilized country,,
18972,อุดเตา,อุดเตา,iron,N,เตารีด,,,เครื่องสำหรับรีดผ้าให้เรียบโดยอาศัยความร้อน ทำด้วยโลหะ,,,
18973,อุตรดิตถ์,อุตรดิตถ์,Uttaradit,N,จังหวัดอุตรดิตถ์,เมื่อปี 2448 รัฐได้กู้ยืมเงินต่างประเทศมา 1 ล้านปอนด์ เพื่อนำมาลงทุนสร้างทางรถไฟสายลพบุรี-อุตรดิตถ์,,,,,
18974,อุ้งมือ,อุ้งมือ,palm,N,,เขาจ้องมองภาพอันสยดสยองของเหยื่อในอุ้งมือของฆาตกร,,ส่วนกลางของฝ่ามือ,,,
18975,อุ้งมือ,อุ้งมือ,control,N,อำนาจ,ในไม่ช้าวงการค้าปลีกในเมืองไทยคงอยู่ในอุ้งมือของกลุ่มทุนต่างชาติอย่างแน่นอน,,,,,
18976,อุจ,อุจ,high,ADJ,สูง,,,,,,
18977,อุจาด,อุจาด,disgraceful,ADJ,"น่าเกลียด, น่าอาย",ภาพที่เห็นเป็นภาพอุจาดตาสิ้นดี,,,ugly,,
18978,อุณา,อุณา,fleece,N,ขนแกะ,,,,lamb's wool,,
18979,อุโฆษ,อุโฆษ,famous,ADJ,"โด่งดัง, แพร่หลาย",Sigmund Freud นักจิตวิทยานามอุโฆษใช้การสะกดจิตในการเปลี่ยนแปลงอาการของคนไข้,"เงียบ, ไร้ชื่อเสียง",กึกก้อง,well-known,,(บาลี/สันสกฤต)
18980,อุดตัน,อุดตัน,blocked,ADJ,ตัน,,,,clogged,,
18981,อุกอาจ,อุกอาจ,be outrageous,V,เหี้ยมหาญ,,"หวั่นเกรง, เกรงกลัว, ขลาดกลัว","กล้าทำความผิดโดยไม่เกรงกลัว, กล้าละเมิดโดยไม่กลัวความผิด, บังอาจล่วงละเมิด",be offensive,,
18982,อุดมคตินิยม,อุดมคตินิยม,idealism,N,,ในคริสต์ศตวรรษที่ 19 แนวคิดทางจิตเวชศาสตร์ได้เบนไปจากเรื่องศาสนา และปรัชญา ไปเป็นเรื่องทางอุดมคตินิยม และวัตถุนิยมมากขึ้น,,,,,
18983,อุดร,อุดร,north,N,"ทิศเหนือ, อุตดร",,,,,,
18984,อุดรธานี,อุดรธานี,Udon Thani,N,จังหวัดอุดรธานี,"ที่บ้านเชียง จังหวัดอุดรธานี ได้มีการขุดพบโครงกระดูก และเครื่องปั้นดินเผามีอายุเก่าแก่ถึง 4,000-5,000 ปี",,,,,
18985,อุดอู้,อุดอู้,stuffy,ADJ,อับ,การเคลื่อนไหวที่ต้องใช้กำลังในบริเวณห้องเครื่องที่อุดอู้อับทึบ ทำให้ใบหน้าแวววับด้วยหยาดเหงื่อ,โปร่ง,ไม่โปร่ง (ใช้แก่สถานที่),airless,,
18986,อุตดม,อุตดม,best,ADJ,"สูงสุด, ยิ่ง, เลิศ",,,,most; excellent; highest; superb,,(บาลี/สันสกฤต)
18987,อุตดร,อุตดร,north,N,"ทิศเหนือ, อุดร",,,,,,
18988,อินเตอร์เนชั่นแนล,อินเตอร์เนชั่นแนล,international,ADJ,ระหว่างชาติ,,,,,,(อังกฤษ)
18989,อุณาโลม,อุณาโลม,hair between eyebrows,N,อุณา,,,ขนหว่างคิ้ว,,,
18990,อื้อฉาว,อื้อฉาว,be scandalous,V,ฉาวโฉ่,ข่าวการโกงกินในโครงการปลูกผักสวนครัวรั้วกินได้อื้อฉาวไม่แพ้ข่าวทุจริตยาชาวชนบทยากจน,,รู้กันโดยทั่วไปทั้งๆ ที่ต้องการให้เรื่องหรือข่าวนั้นๆ เป็นความลับ,be notorious,,
18991,อึน,อึน,be damp,V,ชื้น,ผ้าที่เพิ่งเก็บเข้ามายังอึนอยู่เลย,,แห้งไม่สนิท,be moist,,
18992,อืด,อืด,distend,V,"พอง, บวม",ศพที่ห่อหุ้มด้วยผ้า และมัดไว้อย่างแข็งแรงเริ่มอืดเน่า เพราะตายมาไม่น้อยกว่า 4 วัน,แฟบ,,swell,,
18993,อืด,อืด,slowly,ADV,"ช้า, ยืดยาด, อืดอาด",รถบัสเลี้ยวเข้าวัดตรงปากซอย ผ่านหล่มผ่านบ่อ แล้วคลานอืดๆ มาจอดหน้าโรงครัว,"เร็ว, รวดเร็ว, ว่องไว",,dilatorily; tardily; sluggishly,,
18994,อืดอาด,อืดอาด,tardily,ADV,"ช้า, ยืดยาด, อืด",ราชสีห์เดินอืดอาดส่ายพุงกระเพื่อมอยู่กลางทุ่ง และวางสีหน้าท่าทางดูน่าเกรงขามยิ่งนัก,"เร็ว, รวดเร็ว, ว่องไว",,slowly; dilatorily; sluggishly,,
18995,อืดอาด,อืดอาด,tardy,ADJ,"ช้า, ยืดยาด, อืด",,"เร็ว, รวดเร็ว, ว่องไว",,slow; sluggish; dilatory,,
18996,อื้น,อื้น,speak,V,"พูด, กล่าว, บอก, เอิ้น, เอื้อน",,,,talk; say,,
18997,อุ้ง,อุ้ง,palm,N,"ฝ่ามือ, ฝ่าเท้า",,,ส่วนกลางของฝ่ามือ หรือฝ่าเท้า,,,
18998,อื้อ,อื้อ,abundant,ADV,,สวนดุสิตโพลล์ชี้ปริญญาตรี-โทตกงานอื้อ,,,plentiful,,
18999,อุตรนิกาย,อุตรนิกาย,Uttaranikaya,N,มหายาน,,,ชื่อนิกายหนึ่งในพระพุทธศาสนา คือ นิกายฝ่ายเหนือ,Mahayana sect of Buddhism in the north,,
19000,อือออ,อือออ,agree with,V,คล้อยตาม,,,พลอยเห็นดีเห็นงามไปด้วย,,,
19001,อื้อฮือ,อื้อฮือ,ah,INT,,,,เสียงอุทานแสดงความประหลาดใจ,my god,,
19002,อุก,อุก 2,dare,V,,,,"หักหาญด้วยพลการ, บังอาจ",,,
19003,อุก,อุก 1,Hemipimlodus borneenis,N,,,,ชื่อเรียกปลากดหลายชนิดในวงศ์ Ariidae ซึ่งเมื่อถูกจับขึ้นมาพ้นน้ำจะร้องเสียงอุกๆ,,,
19004,อุกกาบาต,อุกกาบาต,meteorite,N,"ผีพุ่งไต้, ดาวตก",ในวันหนึ่งๆ จะมีอุกกาบาตขนาดเล็กตกจากภายนอกโลกเข้ามายังโลกวันละหลายล้านลูก,,,meteor,"ลูก, ก้อน",
19005,อุกฉกรรจ์,อุกฉกรรจ์,serious,ADJ,"ร้ายแรง, อุกอาจ",ผู้ใหญ่บ้านรายนี้ได้เคยก่อคดีอุกฉกรรจ์มาแล้วมากมายหลายคดี,,,critical; capital,,
19006,อุกฤษฏ์,อุกฤษฏ์,highest,ADJ,,,,สูงสุด,the most,,
19007,อือ,อือ,yeah,INT,,เธอจะไม่พูดอะไรบ้างหรือนอกจากอืออือ,,คำที่เปล่งออกมาเป็นการตอบรับหรือรับรู้,right,,
19008,อุบลราชธานี,อุบลราชธานี,Ubon Ratchathani,N,จังหวัดอุบลราชธานี,เขาไม่เคยเดินทางไปที่อุบลราชธานีเลยแม้สักครั้งเดียว,,,,,
19009,อุตพิด,อุตพิด,Typhonium trilobatum Schott,N,อุตพิษ,,,ชื่อไม้ล้มลุกมีหัวชนิด Typhonium trilobatum Schott ในวงศ์ Araceae ดอกบานเวลาเย็น กลิ่นเหม็นเหมือนอุจจาระ,,,
19010,อุทุมพร,อุทุมพร,Ficus glomerate,N,,,,ชื่อมะเดื่อชนิดหนึ่ง,,"ต้น, ผล",
19011,อุเทศ,อุเทศ,explanation,N,,,,"การยกขึ้นแสดง, การยกขึ้นชี้แจง",illustration,,
19012,อุ่น,อุ่น,heat up,V,,หล่อนซื้อเตาไมโครเวฟมาอุ่นกับข้าวยามรีบด่วน,,ทำให้ร้อน,warm up,,
19013,อุ่นเครื่อง,อุ่นเครื่อง,warm up,V,"ฝึกซ้อม, เตรียมพร้อม",การประกวดนางสาวไทยได้เริ่มอุ่นเครื่อง โดยคัดตัวรอบแรกไปแล้ว,,ฝึกซ้อมก่อนแข่งขันจริง,,,
19014,อุ่นใจ,อุ่นใจ,feel relieved,V,ผ่อนคลายใจ,ฉันรู้สึกอุ่นใจ สบายใจ เมื่อฉันอยู่ใกล้แม่ของฉัน,,รู้สึกสบายใจขึ้น,be at ease; feel comfortable,,
19015,อุทาร,อุทาร,excellent,ADJ,"เลิศยิ่ง, ยิ่งใหญ่",,,,superb,,(บาลี/สันสกฤต)
19016,อุบ,อุบ 1,conceal,V,,ตำรวจอุบความลับบางประการเกี่ยวกับการสืบสวนเอาไว้ เพื่อประโยชน์แห่งคดี,เปิดเผย,นิ่งไว้ไม่เปิดเผย,keep secret,,
19017,อุทัยธานี,อุทัยธานี,Uthai Thani,N,จังหวัดอุทัยธานี,คนลาวที่มาตั้งถิ่นฐานอยู่ในแถบจังหวัดพิจิตร และอุทัยธานี มีความสามารถพิเศษในการทอผ้ามัดหมี่ และจก,,,,,
19018,อุบัติการณ์,อุบัติการณ์,incident,N,,กลิ่นอายการรำลึกเหตุการณ์ 14 ตุลายังไม่จางหาย อุบัติการณ์ย่ำซ้ำรอยกรณีทุ่งใหญ่นเรศวรก็ทำท่าจะหมุนวนหวนกลับมาอีกครั้ง,,,event,,
19019,อุบัติภัย,อุบัติภัย,accident,N,,น่าสลดใจที่ได้ทราบว่ามีผู้เสียชีวิตจากอุบัติภัยบนท้องถนนในกรุงเทพมหานครเพิ่มขึ้นเรื่อยๆ,,ภัยที่เกิดจากอุบัติเหตุ,,,
